Entry,Col2,Col3,Col4,Col5
1,85,29,195,677
2,70,1,22,62
3,786,29,18,689
4,779,31,240,671
5,791,27,228,632
6,776,27,212,650
7,766,27,224,634
8,732,27,215,616
9,752,31,219,593
10,745,25,206,585
11,660,23,204,535
12,703,25,181,573
13,724,30,207,552
14,718,26,192,539
