Entry(1s),Source 1,Source 2,Source 3,Source 4
307,86,23,31,35
308,81,27,38,41
309,84,23,29,30
310,92,23,32,32
311,84,23,34,36
312,78,26,37,39
313,89,28,33,37
314,89,24,28,32
315,81,21,28,31
316,68,23,34,34
317,83,21,1,28
318,77,27,36,36
319,87,24,31,31
320,77,20,29,29
321,76,24,34,35
322,85,30,39,39
323,79,23,31,31
324,83,24,31,31
325,75,23,32,32
326,69,26,35,35
327,77,24,32,32
328,82,23,29,29
329,71,23,32,32
330,73,27,37,37
331,76,28,34,34
332,77,23,30,30
333,71,22,29,29
334,63,23,33,32
335,75,28,35,34
336,76,24,29,29
337,70,21,28,28
338,69,24,33,33
339,73,29,36,37
340,68,23,28,28
341,70,22,28,27
342,62,22,31,30
343,69,29,36,36
344,66,23,29,28
345,74,24,29,28
346,65,23,31,31
347,64,27,35,35
348,70,28,33,33
349,69,21,26,25
350,57,20,26,25
351,64,27,35,34
352,65,28,33,33
353,69,23,28,27
354,62,22,28,27
355,58,24,32,31
356,67,29,35,35
357,62,24,27,27
358,58,19,24,23
359,58,24,31,30
360,65,30,36,35
361,59,23,27,26
362,66,24,27,27
363,57,23,30,29
364,58,27,33,32
365,62,27,33,32
366,57,19,21,21
367,55,23,30,28
368,55,27,33,32
369,62,28,32,32
370,60,22,26,25
371,57,23,27,26
372,53,24,30,29
373,59,29,34,34
374,57,24,27,26
375,52,19,23,22
376,51,24,30,29
377,59,29,34,34
378,53,24,27,26
379,57,22,26,25
380,53,24,30,28
381,54,28,33,32
382,55,26,30,30
383,51,19,20,20
384,51,23,28,27
385,51,27,32,31
386,56,27,31,30
387,53,22,24,24
388,50,23,27,26
389,52,25,30,29
390,55,29,34,33
391,47,21,23,22
392,48,22,25,25
393,49,24,29,28
394,53,29,34,33
395,51,24,26,24
396,50,21,24,24
397,48,24,29,27
398,50,29,33,32
399,45,22,23,22
400,50,22,25,25
401,47,24,28,27
402,47,28,32,31
403,51,27,30,29
404,50,22,24,23
405,44,23,26,26
406,47,25,29,28
407,46,27,30,29
408,49,22,24,23
409,44,23,26,26
410,44,24,28,27
411,49,29,33,32
412,49,24,25,24
413,43,20,23,23
414,44,25,29,28
415,45,27,31,29
416,45,24,25,24
417,44,22,25,24
418,43,24,28,26
419,45,28,31,30
420,47,27,29,29
421,45,22,23,22
422,37,20,23,22
423,42,27,30,29
424,48,28,30,30
425,44,22,23,22
426,41,23,26,25
427,41,24,27,26
428,45,29,32,31
429,44,24,24,24
430,36,19,22,21
431,40,24,27,26
432,47,29,32,31
433,41,24,24,24
434,41,22,25,24
435,41,24,27,26
436,42,28,31,30
437,42,26,29,29
438,37,19,20,19
439,38,23,26,25
440,41,27,30,29
441,43,28,30,30
442,40,21,22,21
443,38,24,27,26
444,38,24,27,26
445,43,29,32,31
446,37,21,21,21
447,37,22,24,23
448,37,24,26,25
449,43,29,31,30
450,39,24,24,24
451,37,21,23,22
452,38,24,27,26
453,39,28,30,29
454,35,22,23,23
455,40,24,25,24
456,36,23,25,24
457,37,27,29,28
458,41,27,29,28
459,38,22,22,22
460,35,23,25,24
461,37,25,27,26
462,37,27,29,28
463,37,22,22,22
464,36,23,25,24
465,34,24,26,25
466,40,29,31,30
467,38,24,24,24
468,34,20,22,21
469,36,25,27,26
470,35,27,29,28
471,36,24,24,24
472,36,22,24,23
473,36,24,26,25
474,35,28,30,29
475,38,27,29,28
476,35,22,22,22
477,35,23,25,24
478,30,24,26,25
479,39,28,30,29
480,34,21,22,22
481,35,23,25,24
482,31,24,26,25
483,38,29,31,30
484,35,24,24,24
485,31,19,21,20
486,31,24,26,25
487,39,29,31,30
488,33,24,24,24
489,34,22,24,23
490,33,24,25,25
491,35,28,29,29
492,35,26,28,28
493,30,19,19,19
494,33,27,3,28
495,29,20,21,21
496,34,27,28,28
497,37,28,29,29
498,31,21,21,21
499,32,23,24,24
500,33,25,26,26
501,36,29,30,30
502,30,21,21,21
503,32,22,23,23
504,31,24,25,25
505,36,29,30,30
506,33,24,24,24
507,31,21,22,22
508,31,24,26,26
509,34,28,29,29
510,29,22,22,22
511,34,24,24,24
512,30,23,24,24
513,33,27,28,28
514,34,27,28,28
515,32,22,22,22
516,30,23,24,23
517,31,25,26,25
518,32,27,28,27
519,31,22,23,23
520,30,22,23,22
521,29,24,25,24
522,34,29,30,29
523,33,24,24,24
524,30,21,22,21
525,29,24,25,24
526,31,27,28,27
527,31,24,24,24
528,30,22,23,22
529,30,24,25,24
530,32,28,29,28
531,33,27,28,27
532,30,22,22,22
533,30,23,24,23
534,27,24,25,24
535,34,28,29,28
536,29,21,21,21
537,30,24,25,24
538,29,24,25,24
539,32,29,30,29
540,31,24,24,24
541,27,20,21,20
542,29,24,25,24
543,30,28,29,28
544,31,24,24,24
545,28,21,22,21
546,30,24,25,24
547,32,29,30,29
548,30,25,26,25
549,31,24,24,24
550,29,23,24,23
551,27,24,25,24
552,31,27,28,27
553,28,22,22,22
554,28,23,24,23
555,29,25,26,25
556,32,29,30,29
557,29,23,24,24
558,25,20,21,20
559,26,23,24,23
560,32,29,30,29
561,30,24,24,24
562,26,20,21,20
563,29,25,26,25
564,33,29,30,29
565,29,25,26,25
566,30,24,24,24
567,24,19,20,19

